smiles,base_material,dielectric_constant,tg_celsius,density_g_cm3,thickness_nm,applied_voltage,temp_c
CC(=O)CC(F)(F)CC(F)(F)C,PVDF,12.09466973674918,-31.87809448148808,1.816073336186487,2673.0852456698203,420.22875917542274,25
CCC(=O)c1ccc(cc1)C(=O)OCCOO,PET,3.3380193039425494,74.68642256341396,1.3983712712956842,3922.822544500024,154.70361859892796,25
ClC(=O)c1ccc(cc1)C(=O)OCCOS,PET,3.3959230046291076,73.22972394662813,1.354104857257156,1532.8313366783832,247.58354791705779,300
SCCCCCC(=O)NC(=O)O,Nylon-6,3.507302771410731,49.57890779678944,1.150960723247725,847.082449823786,98.12731018400567,100
CC(=O)CC(c1ccccc1)CC(c1ccccc1)OC,Polystyrene,2.568403907264852,104.15277205526648,1.0303248618147847,1194.0962994278207,362.8688193074905,100
c1ccccc1C(F)(F)C(F)(F)CCC,PTFE,2.1592323218078904,110.33376225554936,2.18022872154709,2402.829335613729,296.9351865876792,200
COCCCCCN,PE,2.1632322961604142,-124.68908906606157,0.9008304806745077,1421.2487414346947,278.15343788332046,300
SCC(F)(F)CC(F)(F)Cl,PVDF,11.984803419631394,-37.22302069536791,1.766674309892996,2259.322762677377,305.89363485978856,100
OC(=O)c1ccc(cc1)C(=O)OCCOC(F)(F)F,PET,3.3428598824386224,77.15310174034944,1.4190358001654246,3179.2675074947347,483.86537775350956,200
ClCC(Cl)CC(Cl)Br,PVC,3.4310794238514553,81.0656633519543,1.3944688028010745,2492.831845543561,45.180599756422474,100
CCCCCCCS,PE,2.1858888171043414,-120.07911514946004,0.8783500915425928,4266.997310324265,93.46516448501929,300
NCC(C)CC(C)OC,PP,2.183523858530809,-13.816009168213313,0.9294750558417572,4269.725861841685,149.35459594097034,100
SC(=O)c1ccc(cc1)C(=O)OCCOS,PET,3.354594689373741,73.52316994720472,1.409890591016122,4826.67909989022,373.46330661786175,200
BrCC(F)(F)CC(F)(F)C(=O)O,PVDF,12.002628320471738,-38.23975301297559,1.7358177567172992,1067.838243289306,133.2061433303192,25
CCCCCCCC(=O)NC(F)(F)F,Nylon-6,3.411709110704029,49.951702038987456,1.140075659359181,3027.9355247670105,286.54910975679485,300
COCC(Cl)CC(Cl)Cl,PVC,3.531826686623579,81.12621478793548,1.4018521005602085,2751.4690167161275,85.03705781705708,200
CCC(C)(C(=O)OC)CC(C)(C(=O)OC)C#N,PMMA,2.9462035702299922,106.56489838350869,1.1813222794840788,1186.0253063386683,136.61416941930122,200
OOc1ccc(cc1)C(C)(C)c2ccc(cc2)OCCC,Polycarbonate,2.946640922213751,148.04708588581187,1.222096216382671,2113.050404446528,148.68591915069112,300
BrCC(F)(F)CC(F)(F)O,PVDF,11.999539425894822,-39.067817873325396,1.737304127476176,1335.4596302781665,103.5337218203896,100
FC(F)(F)CCCCCC(=O)NN,Nylon-6,3.4257073515921905,42.34460136778336,1.1124234348279227,1673.64831969622,16.964384491574574,200
CCCCCCO,PE,2.2664519602790403,-116.95235642503198,0.9087478379030175,1797.4764676860984,344.422796947738,200
SCC(c1ccccc1)CC(c1ccccc1)C,Polystyrene,2.4430714334958807,104.38610670773248,1.0638591196330542,4548.202958225016,63.54287135605016,200
CC(=O)CC(c1ccccc1)CC(c1ccccc1)C,Polystyrene,2.5887270077290143,101.64324582247903,1.0531389220486773,3454.8391923267554,29.808437772735438,300
CC(F)(F)C(F)(F)C(F)(F)F,PTFE,2.002186944222133,115.95189352125426,2.249124462814003,1659.278402773231,102.85072582173575,100
SCCCCCO,PE,2.156649386650023,-119.38510605585616,0.9491974425141374,4027.2084921907112,224.8092667062545,300
OOc1ccc(cc1)C(C)(C)c2ccc(cc2)OS,Polycarbonate,2.924574931371387,146.10949033121935,1.2339787623856182,1112.3254032504856,105.47086721064615,100
SCC(F)(F)CC(F)(F)OC,PVDF,11.900314210163652,-36.54487988050366,1.7661662799194247,4768.718528239448,31.942549134915787,25
