Material_Type,Temperature_C,Thickness_um,Dielectric_Constant,Dissipation_Factor,Theoretical_Breakdown_Strength_MVm
Alloy,154.58300513770956,6.621901327204325,4.994407177139778,0.0071686304942449805,185.44893168890255
Polymer_Blend,159.68857595328228,4.80656805978541,4.751265563719368,0.014729503617177918,148.87949188566031
Nanocomposite,229.88559569002666,3.671170102337539,2.0451158785801358,0.04500495313119343,215.98115569908845
Alloy,153.7140895356773,13.491060142179576,9.857638997098462,0.03717745843579574,64.51559309696378
Polymer_Blend,165.90443486030264,2.1941991651132478,6.85204665898439,0.046543516364409974,232.575261093526
Nanocomposite,220.12183335373922,13.796898425388331,5.2186289913914035,0.04420983375609897,85.27388057301268
Alloy,188.78003535871449,2.8030363146647064,6.3501505751374285,0.016316391676790314,274.1518852346495
Alloy,240.08287731553963,11.784571656274327,2.3242162727700997,0.031986494289570795,113.33268910091996
Polymer_Blend,170.59944102583432,5.81746235995915,3.389207642333351,0.019556088227966895,154.74896785370186
Polymer_Blend,171.8539612570237,5.248796297628566,6.98687939970722,0.03515811224967937,202.77529078088673
Polymer_Blend,106.43925560747185,4.339160110716344,6.11409383746896,0.018074394060894738,249.12348845505454
Nanocomposite,129.5954745492725,3.748697162782383,8.296598583421066,0.001064551222122901,193.32087443649553
Alloy,180.99989740776863,2.8610507718324176,7.2699415235626965,0.005602972543417488,198.03526783573884
Nanocomposite,128.06659554567298,4.015579751831121,6.8114854078350975,0.03877960398491592,194.05140444011695
Polymer_Blend,168.03750935234478,9.65020514961626,8.522125634442506,0.00511625699384079,96.83163292031304
Polymer_Blend,142.4975770191347,9.405821946700765,2.546104844415205,0.03037171147877188,132.6721966537624
Alloy,103.1219996065859,5.653971003730806,7.527094371450282,0.04303114710560043,115.26978455534436
Polymer_Blend,171.26641413083738,10.838464316082273,7.724725706312124,0.03731396060526353,121.57120209467205
Nanocomposite,196.94049733806773,12.00517730757959,4.201308397440088,0.021258500946157496,103.38541834517694
Alloy,150.73505446951992,14.742274297369816,3.5651970918991553,0.011221606549364497,88.15162963672331
Alloy,216.47904422938194,7.717001116823537,3.7108198036479934,0.04620433689934956,119.52046521436868
Polymer_Blend,121.90808961918978,6.869657837704591,3.5851269074559537,0.028753584407467933,169.14554464549727
Nanocomposite,113.6937603133153,14.651273178181947,6.1902575272287566,0.020865582904085737,115.09059873422483
Nanocomposite,240.22622410690943,14.247983111244116,3.085010490926628,0.04716082725214064,55.374248253707364
Alloy,238.24848215605172,14.050322129857744,7.274286891354803,0.011535869449723634,90.56578822645821
Polymer_Blend,160.98163727578583,9.914214757292424,2.8406260715901563,0.022671811750227457,84.75312447702171
Polymer_Blend,162.98978320718538,10.030513225682057,2.2151171224820496,0.006323639749011812,108.33220039668642
Polymer_Blend,227.65533696959972,14.063742532126623,4.554321939566969,0.007119132784077372,111.14087951504648
Polymer_Blend,179.57816770689396,8.237647945747463,3.5348777898643284,0.020531216543844922,145.78141146740057
Alloy,117.56706824007975,4.775178801266838,9.90929644328066,0.03528335744326986,185.17047723152308
Alloy,117.23101640770022,14.808363393763232,4.423970404937739,0.017605803263554987,97.50771852844038
Nanocomposite,119.66961074645435,12.946906465681685,3.77651268820411,0.03479030065754711,99.19585781929099
Polymer_Blend,217.11478065033344,2.7286992858269774,3.5741585879937166,0.04045433299336724,118.38017583428203
Polymer_Blend,190.28443983901644,3.4620453449221396,4.9908232384279225,0.04400131781801348,300.0710023116939
Polymer_Blend,144.96492866636075,13.46752759892985,6.8467911626526226,0.0031912556986331093,101.40176120931135
Polymer_Blend,124.31101306048743,5.914126802127601,8.25556220037026,0.038912851093681484,210.3707738915674
Polymer_Blend,118.51952809509984,11.053015289951544,4.916609981944547,0.008209963988976887,85.65755983609554
Polymer_Blend,211.20812631764676,3.5316844762213027,7.007767840342315,0.035214852371667375,187.73239984219796
Polymer_Blend,232.87938544136583,4.216937740140499,5.8564791862350996,0.019211460814400085,144.08869508525333
Alloy,179.66175800068288,11.715767212685673,8.771962770027187,0.035681871587048226,101.18619728722324
Polymer_Blend,215.90651457776488,14.730791931212224,6.552334217267481,0.011477387980891846,84.74154185480843
Nanocomposite,142.46926074874636,8.528584405287026,4.319133375032801,0.03260454522614877,124.86360492158883
Alloy,187.84956901811276,2.5579097092183747,7.628698057426047,0.007150190266035088,344.1586477540907
Polymer_Blend,165.70582717677138,5.046121282081668,8.560515904183966,0.00931753183518354,137.17272066796684
Nanocomposite,113.15412882704385,4.765112467454484,5.7235252541117205,0.031108634333063427,284.5380086725146
Nanocomposite,173.1050161712137,14.15853866427344,9.897577911058551,0.017501803090867674,168.9259252489092
Polymer_Blend,227.01801234984362,7.448949885941742,9.032775033530507,0.03548512558257662,90.85790940671504
Polymer_Blend,107.76737767389925,14.319746439326755,3.5756373573239317,0.03457281233473169,178.92230180775687
Alloy,171.56589654567333,13.174599939846862,8.294046977249899,0.03146006552249884,67.44029972436368
Polymer_Blend,230.98946140915527,7.860483270114765,6.807609954798129,0.03679648652048157,140.17613934701484
Polymer_Blend,218.51078942149653,2.3231805500360827,6.278490382462677,0.03990282679251953,205.91799211554627
Polymer_Blend,174.0174969499974,14.648356747152555,6.111508692636547,0.04565974084111938,75.52499330760286
Alloy,125.70169588955311,2.130928622451049,8.827289142259431,0.004945275644606248,264.0474009977873
Alloy,227.2789294437249,13.1296857319705,6.886982311227588,0.02900590172414404,87.41569383299317
Alloy,122.97018735319324,7.372013834577628,6.3016478804298695,0.037690064847399646,171.75674010343832
Alloy,141.52310697956526,5.917016153542551,2.3908792540643926,0.011630131376823987,125.68756454057515
Polymer_Blend,118.64127871783515,7.307907930843152,5.586422958068459,0.013917436005870351,151.8235419059434
Alloy,168.8513671641851,6.639822679109939,9.264332496364062,0.01408125287243562,119.7625922077784
Polymer_Blend,194.37968919589764,10.95855040741581,7.693893834756952,0.029044315602251396,139.1972707223835
Polymer_Blend,224.06774664786124,9.445400752910645,2.4076318244492274,0.01894235785481733,80.65261060668045
Alloy,169.20064125727845,5.339763090672784,9.071938257208338,0.033638642265958356,129.84180918250527
Polymer_Blend,245.60804073777845,8.857514945241167,8.613337771016432,0.030901744416428883,117.68585468517098
Alloy,189.37854811828277,7.264351161954386,6.373473692556224,0.03319847982204938,202.395498723943
